问题,选项A,选项B,选项C,选项D,答案,题号
一个可以工作的无线电接收系统至少包含哪些部件？,接收天线,解调器,电位器,电源,AB,MC2 -0566
一个可以工作的无线电发射系统至少包含哪些部件？,射频振荡器,调制器,发射天线,防雷器,ABC,MC3 -0567
亚音和数字亚音静噪技术都是在调频发射机所发射的语音信号上附加一个人耳不易察觉 的低频信号并用来选通接收机的静噪。它们所对应的收发信机设置菜单项有：,CTCSS,DCS,DTMF,SQL,AB,MC2 -0582
如果对方报告你的调频电台发射的信号听起来失真严重，可辨度差，原因可能包括：,电台的电源电压不足，可以检查供电电压或更换电池模块再试,电台所处的位置多径衰落严重，可以挪动几步或变更频率再试,电台的发射频率不准。如确认这种情况，需修好设备之后再试,电台天线承载射频功率的能力不足，需更换高级天线之后再试,ABC,MC3 -0585
关于接收机的“过载”现象，以下描述正确的是：,输入信号过于强大以至机内电路饱和阻塞，严重时会损坏接收机前端电路的元器件,启用接收机的 ATT功能可消除或缓解过载,接收机消耗的电流过大，致使电源出现过载现象。情况严重时供电装置会烧毁,减小接收机的喇叭音量，可缓解过载现象,AB,MC2 -0605
关于天线的增益，以下说法正确的是：,待测天线最大辐射方向上的辐射功率密度与基准天线对应值的比值,与参考天线相比，被测天线在某个方向上使信号增强的程度,天线辐射的电波功率与输入到天线的射频功率之比,天线发热耗散的功率与输入到天线的射频功率之比,AB,MC2 -0651
关于振子长度为 1/4波长的垂直接地天线的最大辐射方向，以下描述正确的是：,在水平方向上是全向的,在垂直方向上有指向性，且辐射仰角稍大于 0°,其E面方向图为“ 8”字形,其H面方向图为“ 8”字形,AB,MC2 -0659
关于大多数手持电台随附的“橡胶天线” ，以下说法正确的是：,就电台的一般持握方式而言，电波的垂直极化分量要强一些,相对于全尺寸天线， “橡胶天线”的发射与接收增益都低一些,如果橡胶护套内的天线是螺旋加感的，则电波是旋转极化的,如果橡胶护套某处开裂，则振子会迅速解体，天线随即报废,AB,MC2 -0660
业余无线电爱好者讨论天线系统时常会提及术语  “驻波比（ SWR） ” 。其含义为：,连接到传输线终端的负载阻抗与传输线自身的特性阻抗相匹配的程度,负载与传输线完美匹配时，传输线之中没有驻波，因此驻波比为 1:1,如果负载与传输线不匹配，传向负载的部分能量会沿传输线返回始端,如果传输线中出现驻波，则调整传输线始端的信源阻抗可使驻波归零,ABC,MC3 -0670
小强用长度不短于 1/4波长的 50欧馈线连接收发信机和天线。发信时，他发现 SWR表 的指示为 3:1。该值意味着：,馈线中任意位置上的最大峰值电压与最小峰值电压之比为 3:1,馈线中任意位置上的最大峰值电流与最小峰值电流之比为 3:1,馈线中的驻波致使平均射频电压高于常值，这降低了导体损耗,馈线中的驻波致使平均射频电流高于常值，这降低了介质损耗,AB,MC2 -0672
在为业余电台选购用作天线馈线的同轴电缆时应关注什么电气参数？,特性阻抗,指定频率下每百米的传输损耗,芯线的截面积和最大额定电流,电介质的耐压和最高允许温升,AB,MC2 -0680
我们都知道要为业余电台选配损耗较低的馈线。但是，馈线的损耗会导致什么问题？,发信功率降低,收信信噪比下降,驻波比的测量值永远高于 1:1,发出的信号失真,AB,MC2 -0681
受潮是同轴电缆失效损坏的主要原因。湿气渗透会导致：,介质损耗变大,屏蔽层或芯线氧化、锈蚀，甚至断路,速度因子逐渐大于 1,驻波比越来越小于 1,AB,MC2 -0682
关于垂直天线，以下说法正确的是：,该天线发射垂直极化波，电场与地面垂直,垂直天线是全向天线，其 H面方向图是全向的,该天线发射垂直极化波，磁场与地面垂直,垂直天线是全向天线，其 E面方向图是全向的,AB,MC2 -0689
关于水平极化偶极天线，以下描述正确的是：,通过该天线发射的电磁波，电场平行于地面,该天线水平面上的（ E面）方向图呈“ 8”字展开,通过该天线发射的电磁波，电场垂直于地面,该天线垂直面上的（ H面）方向图呈“ 8”字展开,AB,MC2 -0690
使用 VSB方式进行 ATV通信时，即使信号相对较强，有时所收图像的边缘也有重影。这 是因为：,多径传播。来自不同路径的信号到达接收天线的时延不同，造成重影,发射天线的 VSWR过高。如果信号在馈线中多次往返于发射机和天线，会造成重影,天线的极化配置出错。极化不同的信号同时到达天线，导致重影,遭遇了重放干扰。或许是某中继台也转发了这个信号，其到达接收天线，导致重影,AB,MC2 -0712
保证业余无线电通信接收机优良接收能力的主要因素是：,良好的抗干扰能力,足够高的整机增益,尽量低的本机噪声,尽量小的信号失真,ABCD,MC4 -0821
关于收发信机的 AGC功能，以下说法正确的有：,AGC实现收信机自动增益控制，对中频信号进行检测并反馈控制，防止电路过载,进行基于 FSK或PSK的数据通信时，关闭 AGC功能有可能提高弱信号的解码效果,进行太阳噪声测试的时候，需要关闭 AGC功能,AGC实现收信机自动音量控制，对音频电平进行检测并反馈控制，防止扬声器损坏,AB,MC2 -0836
导体是易于传导电流的物质或材料。以下关于导体的正确描述是：,导体中存在大量的可自由移动的电子或离子，施加电压可产生电流,多数金属都是导电性能优良的导体，比如银、铜和铝,有些金属在高温下呈现零电阻特性，成为超导体,某些金属具有压电效应，可用来制作电声元件,AB,MC2 -0916
关于导体，以下说法正确的是：,霓虹灯中电离发光的气体是导体,酸、碱、盐的水溶液是导体,石墨是导体,云母是导体,ABC,MC3 -0917
绝缘体是不易传导电流的物质或材料。以下关于绝缘体的正确描述是：,分子中正负电荷紧密束缚，可自由移动的带电粒子极少，呈现很大的电阻,绝缘体也称电介质。有些电介质可用来制作电容器，比如陶瓷和聚苯乙烯,随着所加电场的增强，绝缘体会突然导电而成为导体。这种现象称为击穿,随着温度的升高，绝缘体的绝缘程度下降。使用绝缘体应当关注工作温度,ABCD,MC4 -0918
以下哪些可以用作绝缘材料？,工程塑料,酚醛树脂,二氧化硅,二氧化锡,ABC,MC3 -0919
“击穿”是指施加于绝缘介质上的电压高于一定值时，部分介质突然变成导体，导致介 质的电阻陡然下降的一种现象。以下哪些是对击穿现象的描述？,电路中的电容在工作电压显著超过标称耐压后变成导体，造成电路短路,天线调谐器工作时，可变电容的极板间出现电弧，导致发射机告警保护,验电笔中的氖灯发光,台灯里的卤钨灯发光,ABC,MC3 -0920
半导体是导电能力介于导体与绝缘体之间的一类物质或材料。对半导体的正确描述是：,导电特性易于控制。例如，温度、光照或电场的少许变化可显著改变材料的导电性,半导体可分为本征半导体和杂质半导体。后者又有 P型和 N型之分,P型和 N型半导体的交界面称为 PN结，具有内建电动势和单向导电性,硅、锗等半导体材料可用来制作晶体管或集成电路,ABCD,MC4 -0922
下列哪些器件由半导体材料制成？,双极型三极管,氮化镓三极管,LDMOS 三极管,电真空三极管,ABC,MC3 -0923
静电放电是一种常见电磁现象，时刻伴随日常生活。但是，较强的静电放电却足以损坏 电子设备甚至危及人身，需要预防。以下所述与静电有关的是：,刮风时，斜拉天线上出现的直流高压,雷雨时，云层中积蓄的巨大能量,收信时，接收机收到的各种 QRN,发话时，电台馈送到天线的射频能量,ABC,MC3 -0924
如果将导体置于静电场中，导体将呈现如下特点：,静电平衡后，导体是等势体，内部场强为零，外表面出现电荷,外表面曲率很小时，导体表面的电荷会高度聚集。这可能形成尖端放电,静电平衡后，导体是等势体，内部电荷与外表面电荷极性相反,外表面曲率很大时，导体表面的电荷会高度聚集。这可能形成尖端放电,AB,MC2 -0925
直流电（ DC）是以电荷的运动方向始终不变来定义的。关于直流电，以下描述正确的是：,直流电源的输出端有正负极之分,电池提供的是直流电,直流电压通常为 13.8伏。这样的低压即使短路也没什么危害,脉动直流电不含交流成分，因为电荷的运动方向始终不变,AB,MC2 -0926
直流电路欧姆定律是说：,流过电阻的电流 I与电阻两端的电压 U成正比，与阻值 R成反比,电阻两端的电压 U与流过电阻的电流 I成正比，与阻值 R成正比,流过电阻的电流 I与电阻两端的电压 U成正比，与阻值 R成正比,电阻两端的电压 U与流过电阻的电流 I成正比，与阻值 R成反比,AB,MC2 -0938
电源是业余无线电爱好者常用的一种供电装置。我们对电源的理解是：,电源是一种将某种形式的能量转化为电能的供电装置,电池是一种电源，其将化学能转化为电能，也称化学电源,直流电源是将输入交流电或直流电转换成电压和电流符合要求的另一直流电的装置,变压器可将交流电压和电流转换成交流的另一种电压和电流，可用来制作交流电源,ABCD,MC4 -0965
为业余无线电设备供电的外置电源具有多种类型。常见的有：,开关电源,线性电源,蓄电池,标准电池,ABC,MC3 -0968
下列哪一种电池可以充电？,锂离子电池,钠离子电池,铅酸电池,碱性干电池,ABC,MC3 -0969
有些收发信机会在 13.8V直流电源插座附近安装一个标有数字的复位按钮。其作用是什 么？,当设备过流时切断电源,当电源极性接反时切断电源,如果工作温度超过数字所注的温度值则切断电源,如果工作电压超过数字所注的伏特数则切断电源,AB,MC2 -0974
测量一个电解电容器是否完好应当使用：,指针式万用表的电阻档,数字万用表的电容测试档（如果仪表具备该功能）,任意一种万用表的电流档,蓄电池充电器并配合进行短路放电实验,AB,MC2 -1302
频率容限是指：,发射所占频段的中心频率偏离指配频率的最大容许偏差,发射的特征频率偏离参考频率的最大容许偏差,发射所占频段的中心频率偏离最高频率的最大容许偏差,发射的特征频率偏离必要频率的最大容许偏差,AB,MC2 -1347
频率容限是发射设备的重要指标，通常用下述单位来表示：,百万分之几,赫兹,百分之几,兆赫,AB,MC2 -1348
杂散域发射功率是发射设备的重要指标，通常用下述单位来表示：,绝对功率 dBm,低于载波发射功率的分贝值 dBc,低于 PEP发射功率的相对值 dB,绝对功率（瓦）,ABC,MC3 -1349
杂散发射是指：,必要带宽之外的一个或多个频率的发射，其发射电平可降低而不致影响相应信息的传输,杂散发射包括谐波发射、寄生发射,杂散发射包括互调产物、变频产物,杂散发射包括谐波发射、带外发射,ABC,MC3 -1350
按照国家标准 GB8702 -2014《电磁环境控制限值》 ，从电磁环境保护管理角度，向没有屏 蔽空间发射电磁场可以免于管理的有：,频率范围为 0.1-3MHz，等效辐射功率小于 300瓦的无线电通信设施（设备）,频率范围为 3MHz -300GHz，等效辐射功率小于 100瓦的无线电通信设施（设备）,发射频率在 30MHz以下的所有业余电台,发射频率在 30MHz以上的所有业余电台,AB,MC2 -1353
关于自制、改装、拼装无线电发射设备，下列说法正确的是：,自制、改装、拼装的无线电发射设备，应符合《业余无线电设备射频技术要求及测试方 法》 （ GB/T 32658 -2016）所列技术要求,自制、改装、拼装的无线电发射设备，应符合《短波单边带通信设备通用规范》 （ GB/T  16946 -2017）所列技术要求,无线电管理机构可根据相关标准规范免费开展有关技术检测,自制、改装、拼装无线电发射设备可不受无线电管理机构的监督管理,ABC,MC3 -1356
设备的外壳带电可能危及人身安全。相关预防措施包括：,对于使用交流市电供电的设备，应将其金属机箱与某个可靠的公共地线相连,应在供电线路中安装漏电保护器，以在发生漏电时迅速切断供电,如果某设备使用了带有单独保护地线的三线插头，则必须确认接地是有效的,公共地线应具有较低的接地电阻，与自来水管道相连是个一劳永逸的好主意,ABC,MC3 -1369
如何确保自制的业余无线电作品具有较高的用电安全性？,使用三芯电源线和金属机箱，将机箱与市电插座的地线可靠连接,如果设备内部含有高压整流装置，则为其滤波电容并联泄放电阻,为业余自制的射频功率放大器安装断开市电供应的机箱联动开关,为配电箱和天馈系统的配线柜安装喷淋装置，发现火警立即喷水,ABC,MC3 -1372
